id,name,value,group
rhymes,,
rhymes.i,,,rhymes.i
rhymes.i.里,里,7798.0,rhymes.i
rhymes.i.自己,自己,7696.0,rhymes.i
rhymes.i.美丽,美丽,3008.0,rhymes.i
rhymes.i.回忆,回忆,2982.0,rhymes.i
rhymes.i.忘记,忘记,2960.0,rhymes.i
rhymes.i.起,起,2641.0,rhymes.i
rhymes.i.在一起,在一起,2628.0,rhymes.i
rhymes.i.哭泣,哭泣,1928.0,rhymes.i
rhymes.i.心里,心里,1898.0,rhymes.i
rhymes.i.哪里,哪里,1792.0,rhymes.i
rhymes.i.分离,分离,1778.0,rhymes.i
rhymes.i.放弃,放弃,1752.0,rhymes.i
rhymes.i.地,地,1542.0,rhymes.i
rhymes.i.事,事,1516.0,rhymes.i
rhymes.i.一次,一次,1438.0,rhymes.i
rhymes.i.勇气,勇气,1435.0,rhymes.i
rhymes.i.呼吸,呼吸,1427.0,rhymes.i
rhymes.i.时,时,1396.0,rhymes.i
rhymes.i.故事,故事,1387.0,rhymes.i
rhymes.i.心底,心底,1377.0,rhymes.i
rhymes.i.可以,可以,1374.0,rhymes.i
rhymes.i.知,知,1331.0,rhymes.i
rhymes.i.记忆,记忆,1329.0,rhymes.i
rhymes.i.甜蜜,甜蜜,1281.0,rhymes.i
rhymes.i.开始,开始,1277.0,rhymes.i
rhymes.i.这里,这里,1271.0,rhymes.i
rhymes.i.珍惜,珍惜,1256.0,rhymes.i
rhymes.i.距离,距离,1190.0,rhymes.i
rhymes.i.意义,意义,1177.0,rhymes.i
rhymes.i.一起,一起,1169.0,rhymes.i
rhymes.i.死,死,1043.0,rhymes.i
rhymes.ang,,,rhymes.ang
rhymes.ang.地方,地方,3226.0,rhymes.ang
rhymes.ang.上,上,2861.0,rhymes.ang
rhymes.ang.一样,一样,2843.0,rhymes.ang
rhymes.ang.身旁,身旁,2410.0,rhymes.ang
rhymes.ang.唱,唱,1938.0,rhymes.ang
rhymes.ang.希望,希望,1801.0,rhymes.ang
rhymes.ang.模样,模样,1506.0,rhymes.ang
rhymes.ang.长,长,1480.0,rhymes.ang
rhymes.ang.歌唱,歌唱,1436.0,rhymes.ang
rhymes.ang.远方,远方,1417.0,rhymes.ang
rhymes.ang.伤,伤,1416.0,rhymes.ang
rhymes.ang.悲伤,悲伤,1306.0,rhymes.ang
rhymes.ang.天堂,天堂,1296.0,rhymes.ang
rhymes.ang.流浪,流浪,1284.0,rhymes.ang
rhymes.ang.遗忘,遗忘,1093.0,rhymes.ang
